,10-Dec,10-Dec,10-Dec,10-Dec,10-Dec,10-Dec,10-Dec,10-Dec,10-Dec,10-Dec,11-Dec,11-Dec,11-Dec,11-Dec,11-Dec,11-Dec,11-Dec,11-Dec,11-Dec,11-Dec,12-Dec,12-Dec,12-Dec,12-Dec,12-Dec,12-Dec,12-Dec,12-Dec,12-Dec,12-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,14-Dec,14-Dec,14-Dec,14-Dec,14-Dec,14-Dec,14-Dec,14-Dec,14-Dec,14-Dec,15-Dec,15-Dec,15-Dec,15-Dec,15-Dec,15-Dec,15-Dec,15-Dec,15-Dec,15-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,17-Dec,17-Dec,17-Dec,17-Dec,17-Dec,17-Dec,17-Dec,17-Dec,17-Dec,17-Dec,18-Dec,18-Dec,18-Dec,18-Dec,18-Dec,18-Dec,18-Dec,18-Dec,18-Dec,18-Dec,19-Dec,19-Dec,19-Dec,19-Dec,19-Dec,19-Dec,19-Dec,19-Dec,19-Dec,19-Dec,20-Dec,20-Dec,20-Dec,20-Dec,20-Dec,20-Dec,20-Dec,20-Dec,20-Dec,20-Dec,Acquired,Acquisition type,Acquisition year
A A T Techno-Info Ltd.,,0.05,33.33,0,0.03,0.03,367.6,13,2857,0,,0.05,33.33,0,0.03,0.03,370,10,2864,0,,0.07,33.33,0,0.03,0.03,391.1,,,0,,0.09,-33.33,0,-0.03,-0.03,407.3,0.16,31.05,0.04,,0.07,0,0,0,0,411.6,,,0.05,,0.06,28.57,0,0.05,0.05,410.3,66,2887,0.05,,0.06,-8.33,0,-0.03,-0.02,403.6,,,0.03,,0.07,83.33,0,0.51,0.49,406.2,13.25,714,0.03,,0.04,40,0,0.05,0.05,393.3,,,0,,0.04,16.67,0,0.03,0.03,393.5,,,0,,0.04,16.67,0,0.03,0.03,393.5,,,0,No,,
A B B Ship Mgmt. Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,0.05,-50.6,0,,,13.5,1,1.02,,17.7,0.13,7.07,0,,8.63,10.2,0.4,0.54,,6.7,0.17,4.95,0,,-84.85,4.1,1.04,1.04,,12.8,0.11,0.74,0,,8,6.2,0.77,0.77,,11.5,0.14,4.31,0,,58.82,5.6,0.74,0.74,,11.5,0.14,4.31,0,,58.82,5.6,0.74,0.74,,No,,
A B Bank Ltd.,,0.65,26.62,-0.21,9.44,9.67,1185.8,8.4,8.41,0,,0.63,34.11,-0.03,12.95,12.72,1158.3,9.22,9.22,0,,0.38,31.66,0.39,11.24,11.24,1996.4,54.03,54.04,0,,0.39,23.72,0.05,9.17,9.17,2091.8,44.55,44.56,0,,0.38,31.08,0.07,12.09,12.09,2279.4,33.63,33.63,0,,0.32,19.82,0.17,7.63,7.63,2554,17.62,17.62,0,,0.34,21.48,-0.1,8.47,6.45,2497.1,14.71,14.71,0,,0.33,27.68,0.05,9.84,9.84,2197,17.76,17.76,0,,0.26,26.14,0.15,10.05,10,2502.2,32.44,32.44,0,,0.3,9.75,-0.17,3.4,3.29,2034,24.17,24.18,0,,0.3,9.75,-0.17,3.4,3.29,2034,24.17,24.18,0,No,,
A B C A P Trustee Co. Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,,,0,0,-1,,,0.1,,,0,,0,,0,-200,-200,0.1,1,1,,,,,,,,,0,0,,,0,0,0,0,0,0.2,,,0,No,,
A B C Commercial Co. Ltd. [Merged],,0.25,0,0,0,0,7.3,,,0,,0.25,0,0,0,0,7.3,,,0,,0.25,0,0,0,0,7.3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
A B C Dubash Oil & Gas Pvt. Ltd.,,0,0,0,0,0,0.3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
A B C Overseas Pvt. Ltd.,,,,,,,,,,,,0,58.11,0,,,553.4,31.12,31.88,0,,0.32,-7.29,0,-1.12,-1.12,543.8,5.96,27.17,0,,0.01,79.81,0,6.18,6.07,596.8,9,10.99,0.04,,0.02,71.01,0.01,6.98,6.62,661.2,4.1,6.36,0.07,,0.03,-14.38,0.02,-3.49,-3.3,621.1,4.86,9.66,0.05,,0.07,77.87,0.37,18.13,17.45,729.4,2.6,5.85,0.03,,0.16,60.04,0.11,7.31,7.21,763.3,316,652,0,,0.14,27.56,0.01,0.56,0.56,769.9,26.63,32.5,0,,0.13,-1261.79,-0.02,-22.5,-18.48,916.5,0.49,0.68,0.49,,0.13,-1261.79,-0.02,-22.5,-18.48,916.5,0.49,0.68,0.49,No,,
A B Corp Ltd.,425.6,0.37,14.66,-0.01,5.23,5.18,1469.2,3.56,5.26,0.01,235.8,0.4,20.26,-0.06,4.21,8.42,1465.4,3.53,4.96,0,182.7,0.57,4.65,-0.01,0.75,0.75,1383.4,2.53,4.23,0,212.2,0.64,26.23,-0.05,4.76,4.67,1459.5,1.37,1.93,0.05,193.4,0.65,17.41,0.11,2.95,3.13,1364.2,6.42,7.78,0,34.4,0.88,-9.7,-0.17,-0.55,-0.56,1330.9,2.42,12.96,0,2.3,0.89,-22.97,-0.01,-0.66,-0.66,1314.5,2.88,13.64,0,2.3,0.89,-22.97,-0.01,-0.66,-0.66,1314.5,2.88,13.64,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
A B Holdings Pvt. Ltd.,,0.81,,0,,-0.18,38.4,1,1,,,0.62,,0,,-0.35,19.5,0.01,0.02,,,0.31,,0,,-1.36,10.5,0.01,0.03,,,0.31,,0,,-1.36,10.5,0.01,0.03,,,0.58,,0,,,16.1,0.67,32,,,0.61,,0,,-3.88,15.4,0,0.33,,,0,,0,,-9.52,15.5,0.34,0.34,,,0,0,0,,,15.6,0.34,0.34,,,0,0,0,,,15.6,0.34,0.34,,,0,-1100,0,,,14.3,0.33,0.33,,,0,-1100,0,,,14.3,0.33,0.33,,No,,
A B Leasing & Finance Ltd.,,0.93,9.04,0,,,73.6,0.48,0.48,0.08,,0.01,7.37,0,,,111.1,11.53,11.53,0.38,,0.01,4.76,0,2.7,2.06,144.6,10.57,10.57,0.27,,0.01,5.95,0.02,3.86,3.05,152.7,6.8,6.8,0.33,,0.09,6.46,0.25,4.47,3.43,123.4,24.67,26.38,0.16,,0.1,9.3,0.06,7.49,5.34,154.4,14.29,15.44,0.35,,0.04,8.91,-0.11,7.47,5.55,165.8,15.34,15.4,0.34,,0.03,10.82,-0.04,9.71,6.77,207.2,18.5,18.5,0.52,,0.03,9.72,-0.05,8.92,5.53,249.3,22.74,22.74,0.67,,0.02,-8.52,0.03,-7.65,-4.37,289.4,8.12,8.12,0.83,,0.02,-8.52,0.03,-7.65,-4.37,289.4,8.12,8.12,0.83,No,,
A B M Securities Ltd. [Merged],,0.05,12.42,0,6.53,4.81,82.4,16.65,23.32,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
A B N Intercorp Ltd.,,,,,,,,,,,,,,,,,,,,,1.3,0.08,21.05,0,,,103.1,7,17.33,0,0.5,0.04,14.29,0,0.2,0.19,113.6,0.05,0.48,0.08,2.3,0.04,20,-0.03,0.57,0.09,115.2,0.09,0.73,0.06,1.6,0.01,5.56,-0.03,0.09,-0.09,108.9,28.5,28.5,0,1.2,0.01,-8.33,0,-0.09,-0.09,108.7,12,12,0,1,0.01,-580,0,-5.52,-0.1,102.5,55,55,0,0.3,0,-117.65,-0.01,-1.98,-0.3,100.4,141,141,0,0.3,0,-117.65,-0.01,-1.98,-0.3,100.4,141,141,0,,,,,,,,,,,No,,
A B N L It & I T E S Ltd. [Merged],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-17975,-0.01,-3.25,-1.61,4465.6,291.24,291.24,0,,0.02,-267.36,-0.1,-6.89,-6.88,4272.6,6.25,6.25,0,,0.02,-267.36,-0.1,-6.89,-6.88,4272.6,6.25,6.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
A B P Realty Advisors Pvt. Ltd.,,0.04,,-6.19,-202.61,-149.76,2.6,0.93,0.93,,,0.19,0,0,,0,3.2,0.81,0.97,,,0.22,0,-0.03,,0,3.2,0.78,0.97,,,0.2,0,-0.2,,0,0.5,0.8,0.8,,,0.5,,0,,,0.2,0.01,0.01,,,0.5,0,0,,,0.2,0.01,0.01,,,1,0,0,,,0.1,0,0,,,0.5,0,0,,,0.2,0.01,0.01,,,0.5,0,0,,,0.2,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,No,,
A B T Finance Ltd.,,0.64,0,0,0,0,15.9,0.33,0.33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
A B T Foundation Ltd.,,0.27,,0,,,28.2,0.95,0.95,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
A C C Mineral Resources Ltd.,,0.74,0,-0.63,0,0,84.3,0.3,0.3,0.64,,0.81,,-0.26,-1.02,-0.53,112.9,0.01,1.11,1.22,,0.86,,-0.29,-1.02,-0.38,154.2,0,0.69,2.15,,0.93,,-0.6,-1.23,-0.22,393.8,0.01,0.22,7.12,,0.87,-109.23,-0.2,-5.77,-4.5,1303.6,0.14,0.14,0,,0.89,80.48,-0.38,2.78,2.78,1258.6,0.24,0.24,0,,0.91,-993.5,-0.01,-39.04,-39.07,861.7,0.08,0.08,0,,0.94,-131.21,0.02,-15.13,-21.71,1276.9,0.27,0.27,0,,0.46,45.03,0,6.11,-1.6,1317.3,16.2,16.2,0,,0.38,45.14,0,8.89,-2.08,1246,19.61,19.61,0,,0.35,41.22,0,3.5,-1.21,1235.3,20.7,20.7,0,No,,
A C E Stonecraft Ltd.,4,0.8,22.5,0,0.39,0.35,299,0.63,1.08,0.27,,0.86,20.75,0.07,0.48,0.42,253.5,0.15,1.33,0,,0.57,13.21,0.23,0.3,0.28,273.3,0.49,1.44,0.15,,0.49,3.23,0.23,0.09,0.08,273.4,0.05,0.24,0.16,,0.38,2.44,0.18,0.09,0.08,239.3,0.27,44.32,0,,0.58,1.36,-0.34,0.09,0.03,372.4,0,1.64,0.6,,0.95,35.81,-0.21,3.41,2.36,316.6,0.11,0.11,0.29,,0.94,17.59,0.23,1.65,1.48,263.6,0.32,0.32,0.05,,0.94,17.59,0.23,1.65,1.48,263.6,0.32,0.32,0.05,,0.93,6,-0.05,,,250.9,1.27,156.09,0,,0.94,19.3,-0.02,0.47,0.21,251.4,0.8,352.6,0,No,,
A C G Arts & Properties Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,-416.47,-0.02,,,460.5,38.15,56.32,0,,0.1,58.37,-0.03,2.66,2.11,466.5,402.57,588.43,0,,0.1,55.84,-0.01,1.83,1.83,474.8,2917,4218,0,,0.1,55.84,-0.01,1.83,1.83,474.8,2917,4218,0,No,,
A C K Capital Mgmt. Pvt. Ltd.,,,,,,,,,,,,0.22,0,0,,,52.5,5.6,5.6,0.01,,0.11,26.37,0,3.1,2.7,104,3.75,3.75,0,8.6,0.1,23.53,0.02,2.68,2.68,106.5,4.13,4.13,0,10.7,0.1,33.77,0,4.81,4.81,111.3,2.78,2.78,0,,0.1,34.67,0,4.6,4.59,117.1,7.43,7.43,0.01,,0.1,41.67,0.04,5.88,5.84,124.1,22.89,22.89,0,,0.1,44.55,0.05,7.69,7.66,134,15.17,15.17,0,,0.08,23.35,0.01,2.9,4.75,137.4,25.25,25.25,0,,0.09,37.37,0.03,5.28,5.24,147.6,9.45,9.45,0.01,,0.09,37.37,0.03,5.28,5.24,147.6,9.45,9.45,0.01,No,,
A C L Components Ltd.,16.6,0,7.19,0,22.02,25.69,8.5,2.15,2.54,0,17.6,0.01,8.38,0,23.81,22.22,8.6,3.06,3.88,0,17.6,0.01,8.38,0,23.81,22.22,8.6,3.06,3.88,0,,,,,,,,,,,,0,40,0,,,7.6,11.8,11.8,0,,0,60,0,4.32,4.32,7.4,9.5,9.5,0,,0,60,-0.05,4.48,4.48,6.6,,,0,,0,50,-0.03,3.1,3.1,6.3,,,0,,0,88.89,-0.01,12.31,12.31,6.8,13,13,0,,0,75,-0.02,4.55,4.55,6.5,,,0,,0,75,-0.02,4.55,4.55,6.5,,,0,No,,
A C M L Capital Markets Ltd.,,0.15,8.63,0,2.64,4.85,620.7,0.85,0.87,0,,0.31,21.14,0,5.92,5.98,723.7,0.74,0.75,0,,0.22,10.77,0,3.39,3.23,530.1,0.72,0.73,0.1,,0.22,14.21,0.04,4.32,4.87,559.1,1.06,1.07,0.02,,0.29,25.81,-0.01,9.77,9.65,629.2,0.69,0.7,0.03,,0.29,28.96,0.04,10.95,10.73,692.5,0.37,0.37,0.01,,0.32,25.97,0.19,9.84,9.79,1022.8,0.39,0.39,0,,0.4,30.9,-0.06,8.97,8.97,1097.8,0.63,0.64,0,,0.36,28.92,0,6.35,5.81,1034.2,0.59,0.59,0,,0.18,18.69,0.2,3.52,3.51,1108.2,0.99,0.99,0.01,,0.18,18.69,0.2,3.52,3.51,1108.2,0.99,0.99,0.01,No,,
A C N Financial Services Ltd.,,0.16,37.93,0,2.93,4,75.9,6.44,17.83,0,,0.16,37.93,0,2.93,4,75.9,6.44,17.83,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
A C Nielsen Mktg. Research India Pvt. Ltd. [Merged],,0,,0,-0.08,-0.08,125.6,0.13,0.13,0,,0,,0,-0.08,-0.08,125.6,0.13,0.13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
A C T Fininvest Ltd.,,0.94,0.33,0.22,4.27,0.03,3079.5,0.03,1.86,115.62,,0.72,0.26,-0.19,3.89,0.01,3645,0.48,1.69,119.06,,0.59,0.86,0.39,13.6,0.14,2634.5,0.99,2.17,74.38,,0.97,0.31,0.03,3.69,-2.15,2561.4,0.03,2.39,70.11,,1,0.98,-0.12,2.53,0.17,2181.4,0.02,4.69,6.73,,0.99,-1.37,-0.02,-1.4,-0.24,2416.2,0.06,3.67,6.88,,0.99,0.39,-0.01,0.39,0,2420,0.03,0.03,6.85,,0.99,1.7,-0.15,1.63,0.05,2867.3,0.03,0.03,6.26,,1,1.67,-0.05,1.42,-0.04,3031,0.04,0.04,6.5,,1,0.59,0,0.3,0.02,3027.7,0.02,0.02,6.48,,1,0.59,0,0.3,0.02,3027.7,0.02,0.02,6.48,No,,
A E G India Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
A E M L Investments Ltd.,1063,0.3,14.39,-0.28,35.19,16.47,719,1.07,2.35,0.1,695.7,0.36,9.34,-0.12,11.56,9.49,821.7,1.17,2,0.17,672.7,0.47,8.75,-0.02,9.62,6.32,1654.9,0.13,1.05,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Sale of Assets,Dec-12
A F C India Ltd.,497.8,0.09,2.55,0,6.64,0.57,454.2,0.75,1.61,0,564.3,0.03,4.73,0,12.7,13.26,1002.4,1.19,1.2,0,208.2,0.02,7.37,0,7.17,6.56,913.4,1.19,1.2,0.08,253.5,0.03,5.07,0,5.45,5.14,890.2,0.25,1.27,0.04,290.2,0.05,1.48,0,1.82,-0.08,782.9,0.23,1.11,0,174,0.05,1.67,0,1.26,1.31,821.3,0.16,1.01,0.04,130.3,0.04,1.85,0,1.02,0.85,829.5,0.12,1.07,0,172.1,0.05,-0.96,-0.04,-0.68,-0.57,883.1,0.39,1.34,0,176.5,0.06,-2.77,0,-2.03,-0.31,785.3,0.34,1.29,0,211.1,0.06,0.88,0,0.77,0.31,811.1,0.28,1.26,0,211.1,0.06,0.88,0,0.77,0.31,811.1,0.28,1.26,0,No,,
A F C O Industrial & Chemicals Ltd.,6.7,0.24,-5.71,0.29,-6.56,-3.42,12.3,0.49,0.82,0.73,6.5,0.04,0,0.21,0,0,11.7,1,1.4,0.49,6.6,0.05,-2.94,0.03,-3.45,-2.42,10.8,1.18,1.79,0.35,5.1,0.16,-7.41,-0.07,-7.27,-7.41,9.6,0.63,2.44,0.09,3,0.22,-32.26,0.08,-20.83,-19.8,7.6,0.8,3.8,0,,0.03,,0.1,-4.76,-4.76,7.7,2.25,2.25,0,,0.05,-200,-0.01,-5,-5,11.4,1,1,0,,0.02,-100,0.03,-2.6,-2.6,20.3,2.14,2.14,0,,0.05,-100,0,-2.67,-2.67,14.2,1.3,1.3,0,,0.13,0,-0.13,0,0,8.2,2,2,0,,0.09,,0.12,-80.77,-80.77,11.2,0.52,0.52,0,No,,
A G I Glasspack Ltd.,,0.05,-200,-0.01,-0.14,-0.14,142.4,74,74,0,,0.13,55.56,-0.09,0.34,0.34,153,52,52,0,,0.3,33.33,-0.2,0.18,0.18,184.6,1.79,1.79,0.01,,0.3,33.33,-0.2,0.18,0.18,184.6,1.79,1.79,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
A G R Investments Ltd.,,0,76.47,0.57,44.7,39.49,23.5,4.14,4.86,0,,0.33,72.22,-0.04,5.9,-1.36,22.7,,,0,,0.33,72.22,-0.04,5.9,-1.36,22.7,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
A G Superstructures Pvt. Ltd.,,1,,-0.19,,,2.1,,,0,,0.3,51.11,-0.32,0.72,0.7,659.3,0,0.51,0.03,,0.33,48.39,-0.11,0.21,0.2,833.3,0,2.37,0.01,,0.52,76.92,-0.34,5.91,5.87,1020.8,0.01,2.71,0,,0.41,76.08,-0.31,2.6,2.32,1404.3,0.04,2.51,0.23,,0.33,530.43,-0.24,1.36,0.91,2080.7,0.02,2.81,0.75,,0.21,-533.33,-0.25,-0.18,-0.08,3077.9,0.03,3.48,1.63,,0.15,-1200,-0.17,-0.27,-0.09,3715.5,0.01,4.24,2.33,,0.13,-1066.67,-0.01,-0.36,-0.11,4164.4,0.01,3.24,2.4,,0.11,-14.29,0.14,-0.04,-0.01,4544.8,0.03,1.9,1.72,,0.11,-14.29,0.14,-0.04,-0.01,4544.8,0.03,1.9,1.72,No,,
A H A Holdings Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
A K Capital Corpn. Pvt. Ltd.,,0.01,66.67,0.04,4.07,4.07,25.5,63.5,63.5,0,,0.02,66.67,-0.01,6.18,6.18,27.8,25.27,25.27,0,,0.03,65.38,-0.02,6.17,6.17,30,18.75,18.75,0,,0.03,65.38,-0.02,6.17,6.17,30,18.75,18.75,0,,0,66.67,-0.87,,,33.3,1.18,30.27,0,,0,66.67,0.02,6.61,6.61,35.5,4.09,32.27,0,,0,66.67,0.02,6.61,6.61,35.5,4.09,32.27,0,,0,74.19,-0.02,,,39.5,244,244,0,,0,73.33,0.03,5.43,5.43,41.6,,,0,,0,74.29,0.06,6.06,6.06,45.1,50.11,50.11,0,,0,74.29,0.06,6.06,6.06,45.1,50.11,50.11,0,No,,
A K Capital Finance Ltd.,,0.27,32.13,0.05,5.26,4.25,799.7,2.23,3.33,0.34,,0.05,27.44,-0.7,4.46,2.81,3197.9,0.17,2.01,0.66,,0.04,23.97,-0.33,5.71,2.85,6080.1,0.21,1.6,1.23,,0.08,17.4,0.04,4.78,1.94,7722.5,0.08,1.01,1.69,,0.13,20.22,0.17,7.23,2.46,9617.9,0.7,1.24,2.13,,0.19,18.23,-0.25,6.59,1.74,15815.5,0.64,1.26,3.4,,0.17,20.18,-0.24,8.19,1.7,20800.8,0.5,1.41,4.04,2.7,0.45,21.33,-0.15,10.42,2.12,21858,0.03,0.03,3.94,8.4,0.31,19.7,0.01,10.03,2.1,23632.3,0.05,0.05,3.85,8.7,0.19,18.75,0.65,7.47,2,14439.5,3.26,3.26,1.81,8.7,0.19,18.75,0.65,7.47,2,14439.5,3.26,3.26,1.81,No,,
A K Capital Markets Ltd.,,0.14,74.15,0,18.4,15.02,74.4,1.15,1.24,0,,0.14,70.18,0,16.96,17.53,79.8,1.27,16.03,0,,0.14,70.18,0,16.96,17.53,79.8,1.27,16.03,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
A K Capital Services Ltd.,,0.27,34.35,-0.2,25.56,23.09,3533.7,1.85,1.85,0.13,13.5,0.16,21.66,0.17,12.52,10.53,4668.2,1.08,1.08,0.29,34.1,0.18,28.65,0.07,11.51,8.88,4826.9,1.05,1.05,0.33,8.2,0.19,20.8,0.04,6.84,5.03,5393.8,1.19,1.19,0.42,27.9,0.08,18.7,0.03,5.89,3.93,5518.4,1.04,1.04,0.57,28,0.06,25.59,0.04,5.73,3.54,5594.1,1.17,1.17,0.55,29.3,0.04,25.32,0.02,7.1,3.93,7723.8,1.07,1.07,1.08,29.3,0.01,17.29,0.02,5.28,2.91,5915.1,0.03,0.03,0.57,27.1,0.01,26.82,0.03,6.24,4.53,4733.3,0.1,0.1,0.19,27.1,0.01,28.97,0.02,4.77,4.16,4557.4,0.13,0.13,0.1,22.9,0,34.63,0.01,6.23,5.06,5426.2,0.04,0.04,0.26,No,,
A K G Securities & Consultancy Ltd.,,0.42,12.37,0,15.63,9.57,124.2,0.24,1.06,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
A K J Fincap Ltd.,,0.16,11.11,0,0.26,0.26,116.5,71.33,71.33,0,,0.16,11.11,0,0.26,0.26,116.5,71.33,71.33,0,,0.08,11.11,-0.02,,,140.9,,,0,,0.13,7.69,0.1,0.08,0.08,125.9,55,104,0,,0.13,7.69,0.1,0.08,0.08,125.9,55,104,0,,0.12,36.36,0,,,139.9,18,101,0,,0.51,6.38,-0.45,0.43,0.31,249.6,0.09,1.24,0.77,,0.6,24.73,-0.12,3.23,1.79,290.5,0.03,1.21,0.99,,0.03,55.81,1.03,6.43,4.12,156.9,7.61,8.54,0,,0.15,,-0.01,-1.37,-1.17,156.3,0.33,5.4,0.01,,0.15,,-0.01,-1.37,-1.17,156.3,0.33,5.4,0.01,No,,
A K J Securities Ltd.,,,,,,,,,,,,,,,,,,,,,,0,,-0.04,,,22.8,0,0.92,0,,0,67,0.41,53.39,53.39,15.9,,,0,,0,52.94,0.08,5.5,5.5,17,29.5,29.5,0,,0,,-0.12,-2.41,-2.41,16.4,,,0,,0,,-0.35,0,0,16.4,,,0,,0,-333.33,-0.01,-6.29,-6.29,15.4,,,0,,0,46.88,0.11,9.29,9.29,17.4,11,19.2,0,,0,-1500,0.01,-9.65,-9.49,14.7,,,0.04,,0,-1500,0.01,-9.65,-9.49,14.7,,,0.04,No,,
A K S Credits Ltd.,,0.45,6.25,0,0.1,0.06,201.2,,,0.98,,0.9,,0,-0.1,-0.05,192.5,,,0.9,,0.97,0,0,0,0,179,,,0.77,0.1,0.98,0,0,0,0,154.6,,,0.53,0.2,0.98,0,0,0,0,154.6,,,0.53,,0.97,0,0,0,0,154.8,,,0.53,,1,0,0,0,0,186.8,,,0.87,,0.99,8.63,0.01,1.2,0.6,218,2.06,2.06,1.13,0.1,0.99,-1.92,0.11,-0.3,-0.15,197.9,2.87,2.87,0.93,,0.99,19.19,0.16,5.03,1.65,179.4,0.59,0.59,0.61,,0.99,19.19,0.16,5.03,1.65,179.4,0.59,0.59,0.61,No,,
A K S Financial Services Ltd.,,0.41,0,0,0,0,5.6,0.05,1.57,0,,0.41,0,0,0,0,5.6,0.05,1.57,0,,0.41,0,0,0,0,5.6,0.05,1.57,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
A K S International Ltd.,,0.79,0.8,0,,,261.6,0.8,3.09,0.21,,0.78,1.61,0,0.09,0.04,271.9,2.3,7.37,0.01,,0.78,1.04,0,0.04,0.04,278.3,1.93,20.57,0,,0.91,0.78,0,0.04,0,299.9,0.3,5.36,0.11,,0.91,0.78,0,0.04,0,299.9,0.3,5.36,0.11,,0.91,2.63,0,,,283.4,0.13,0.95,0.07,,0.94,1.61,0.04,0.08,0.07,275.9,0.08,0.9,0.02,,0.96,2.82,0.02,0.16,0.18,306,0.12,0.61,0.19,,0.97,1.98,0,0.16,0.06,359,0.01,0.24,0.38,,0.96,1.49,-0.01,0.12,-0.08,379.9,0.14,1.68,0.47,,0.96,1.49,-0.01,0.12,-0.08,379.9,0.14,1.68,0.47,No,,
A K S Properties Ltd.,,0.57,8.57,0,0.27,0.27,113.3,123,283.25,0,,1,16.67,0,0.09,0.09,113.8,0.37,142.25,0,,1,0,0,0,0,115,0.15,57.5,0.02,,1,0,0,0,0,113.1,1,1,0,,1,,0,-0.09,-0.09,113,0,0,0,,1,,0,-0.09,-0.09,113.1,0.5,0.5,0,,1,,0,-0.09,-0.09,113.1,0.33,0.33,0,,1,0,0,0,0,113.1,0.5,0.5,0,,1,,0,-0.09,-0.09,112.8,,,0,,1,,0,-0.09,-0.09,112.8,1,1,0,,1,,0,-0.09,-0.09,112.8,1,1,0,No,,
A K Stockmart Pvt. Ltd.,,0.33,5.21,0.02,1.67,1.6,151.8,4.53,4.53,0,,0.05,1.97,-0.03,11.19,11.15,769.7,0.83,1.12,0.06,,0.24,4.43,0,9.15,8.91,224.8,1.52,2.62,0,,0.14,1.82,0,7.58,7.58,393.3,0.96,1.29,0,,0.42,3,-0.09,8.27,7.89,247.7,1.45,3.57,0,,0.23,2.53,0.04,6.77,6.46,442.5,1.19,1.29,0,,0.3,1.86,-0.07,7.53,7.53,262.2,0.53,4.21,0,,0.15,0.94,-0.5,1.34,0.32,492,0.22,0.22,1.16,,0.1,1.86,0.04,8.76,3.97,551.5,0.18,0.18,1.09,,0.25,2.22,0.91,5.87,3.68,318.5,0.87,0.87,0.06,,0.25,2.22,0.91,5.87,3.68,318.5,0.87,0.87,0.06,No,,
